worker_id,name,contractor_id,date,check_in,check_out,shift_type,is_late,absences_30d,attendance_rate,overtime_hours,total_hours_worked,worker_category
1085,Pooja Sharma,104,2023-08-10,06:04,13:33,Morning,0,0,0.95,0.0,7.48,Regular
1147,Rohan Patel,102,2023-11-21,07:01,17:27,Full,0,0,1.0,0.0,10.43,Regular
1140,Amit Reddy,102,2023-02-02,14:11,22:00,Evening,0,0,1.0,2.0,7.82,Regular
1044,Arjun Gupta,105,2023-04-05,06:34,12:16,Morning,0,0,0.97,0.0,5.7,Regular
1090,Rohan Patel,102,2023-07-15,14:28,23:35,Evening,0,0,1.0,0.0,9.12,Regular
1138,Vikram Kumar,105,2023-07-11,06:48,17:31,Full,0,1,0.86,0.0,10.72,Irregular
1012,Deepak Kumar,101,2023-10-06,,,,0,0,0.83,0.0,0.0,Irregular
1113,Vikram Joshi,104,2023-12-08,05:40,12:11,Morning,0,1,0.89,0.0,6.52,Irregular
1052,Neha Singh,103,2023-05-24,05:51,12:20,Morning,0,0,0.99,0.5,6.48,Regular
1057,Deepak Rao,105,2023-07-05,14:34,22:28,Evening,0,1,0.59,0.0,7.9,High_Risk
1009,Vikram Patel,102,2023-09-11,,,,0,1,0.89,0.0,0.0,Irregular
1137,Sneha Joshi,102,2023-07-13,07:07,13:44,Morning,0,3,0.45,0.0,6.62,High_Risk
1071,Sneha Sharma,101,2023-10-19,05:43,13:38,Morning,0,0,1.0,0.0,7.92,Regular
1039,Neha Sharma,103,2023-08-30,05:40,12:00,Morning,0,0,0.96,0.0,6.33,Regular
1113,Deepak Nair,101,2023-04-27,,,,0,4,0.41,0.0,0.0,High_Risk
1147,Rohan Gupta,104,2023-02-16,07:00,17:53,Full,0,0,1.0,0.0,10.88,Regular
1012,Pooja Joshi,102,2023-12-25,,,,0,4,0.46,0.0,0.0,High_Risk
1092,Pooja Joshi,104,2023-07-05,05:40,13:26,Morning,0,0,0.98,0.0,7.77,Regular
1141,Vikram Patel,103,2023-03-23,14:01,23:55,Evening,0,2,0.76,1.0,9.9,Irregular
1119,Amit Nair,101,2023-05-26,,,,0,0,0.83,0.0,0.0,Irregular
1026,Sneha Singh,101,2023-10-10,,,,0,0,0.49,0.0,0.0,High_Risk
1099,Rajesh Singh,101,2023-11-07,07:04,18:02,Full,0,0,0.99,0.0,10.97,Regular
1083,Amit Sharma,101,2023-01-02,,,,0,0,0.98,0.0,0.0,Regular
1113,Arjun Rao,102,2023-03-13,15:53,22:58,Evening,0,0,0.99,0.0,7.08,Regular
1133,Priya Joshi,103,2023-04-22,14:20,23:01,Evening,0,0,1.0,1.0,8.68,Regular
1038,Arjun Rao,102,2023-10-13,06:51,12:37,Morning,0,0,1.0,0.0,5.77,Regular
1030,Sneha Nair,102,2023-05-13,,,,0,7,0.57,0.0,0.0,High_Risk
1017,Neha Nair,104,2023-03-10,,,,0,0,0.97,0.0,0.0,Regular
1126,Rajesh Singh,103,2023-04-21,07:10,13:15,Morning,0,0,0.96,0.0,6.08,Regular
1025,Rohan Gupta,103,2023-06-05,,,,0,1,0.52,0.0,0.0,High_Risk
1051,Vikram Singh,103,2023-04-03,06:00,12:40,Morning,0,1,0.82,0.0,6.67,Irregular
1078,Neha Joshi,102,2023-03-14,15:46,23:29,Evening,0,0,0.75,0.0,7.72,Irregular
1036,Amit Reddy,101,2023-12-21,07:55,13:13,Morning,0,0,0.97,0.0,5.3,Regular
1130,Rajesh Gupta,105,2023-07-06,07:22,18:42,Full,0,0,0.96,0.0,11.33,Regular
1038,Rohan Sharma,103,2023-07-11,15:38,22:16,Evening,0,0,0.97,0.0,6.63,Regular
1044,Rohan Singh,101,2023-07-31,,,,0,2,0.53,0.0,0.0,High_Risk
1146,Neha Nair,104,2023-02-03,15:18,23:40,Evening,0,0,0.99,0.0,8.37,Regular
1064,Pooja Patel,102,2023-11-11,,,,0,0,0.98,0.0,0.0,Regular
1033,Amit Verma,105,2023-07-17,15:10,23:29,Evening,0,0,0.99,0.0,8.32,Regular
1131,Amit Nair,103,2023-08-17,,,,0,0,0.96,0.0,0.0,Regular
1066,Rohan Kumar,104,2023-01-04,06:55,18:50,Full,0,1,0.51,1.0,11.92,High_Risk
1136,Pooja Verma,102,2023-10-27,07:19,17:19,Full,0,0,0.96,0.0,10.0,Regular
1090,Sneha Kumar,105,2023-12-22,15:49,23:09,Evening,0,0,0.98,0.0,7.33,Regular
1130,Priya Verma,105,2023-03-25,05:08,17:14,Full,0,2,0.91,0.0,12.1,Irregular
1095,Neha Patel,101,2023-08-24,,,,0,4,0.55,0.0,0.0,High_Risk
1137,Rajesh Patel,102,2023-02-04,05:07,17:40,Full,0,0,0.99,0.5,12.55,Regular
1035,Pooja Singh,105,2023-12-05,15:24,22:41,Evening,0,0,0.99,0.0,7.28,Regular
1039,Priya Reddy,103,2023-12-19,,,,0,2,0.87,0.0,0.0,Irregular
1145,Priya Nair,101,2023-11-06,07:05,18:02,Full,0,0,0.97,0.0,10.95,Regular
1015,Amit Sharma,105,2023-08-19,05:32,17:36,Full,0,0,0.96,0.5,12.07,Regular
1086,Sneha Nair,102,2023-05-03,,,,0,1,0.91,0.0,0.0,Irregular
1047,Amit Gupta,104,2023-07-03,14:46,23:11,Evening,0,0,0.95,0.5,8.42,Regular
1115,Rohan Rao,103,2023-10-09,14:09,23:37,Evening,0,0,0.97,0.0,9.47,Regular
1090,Arjun Patel,103,2023-05-22,05:46,13:59,Morning,0,0,0.96,0.0,8.22,Regular
1068,Rohan Patel,105,2023-11-24,,,,0,0,0.52,0.0,0.0,High_Risk
1122,Neha Joshi,101,2023-01-30,07:22,17:45,Full,0,0,0.96,0.0,10.38,Regular
1057,Vikram Reddy,101,2023-02-24,07:08,17:08,Full,0,8,0.4,0.0,10.0,High_Risk
1035,Rohan Reddy,104,2023-03-16,14:33,22:16,Evening,0,0,0.95,0.0,7.72,Regular
1025,Priya Patel,104,2023-12-11,07:21,18:27,Full,0,0,0.98,0.0,11.1,Regular
1081,Deepak Singh,104,2023-05-29,05:39,12:06,Morning,0,0,0.95,0.0,6.45,Regular
1123,Vikram Kumar,103,2023-06-07,06:15,13:18,Morning,0,0,0.99,0.0,7.05,Regular
1113,Pooja Nair,102,2023-11-15,14:38,22:31,Evening,0,0,0.99,0.0,7.88,Regular
1124,Deepak Rao,101,2023-10-16,05:56,17:02,Full,0,0,0.98,0.0,11.1,Regular
1072,Deepak Kumar,101,2023-03-08,,,,0,2,0.89,0.0,0.0,Irregular
1035,Priya Kumar,103,2023-06-14,14:47,23:06,Evening,0,0,0.44,0.0,8.32,High_Risk
1147,Deepak Singh,105,2023-10-12,,,,0,1,0.58,0.0,0.0,High_Risk
1148,Rajesh Verma,103,2023-07-14,05:36,13:29,Morning,0,0,0.99,0.0,7.88,Regular
1099,Priya Nair,104,2023-12-30,07:45,17:31,Full,0,2,0.5,0.0,9.77,High_Risk
1009,Deepak Gupta,102,2023-12-25,06:03,18:57,Full,0,1,0.8,1.5,12.9,Irregular
1075,Sneha Patel,102,2023-02-11,05:36,12:37,Morning,0,0,0.96,1.0,7.02,Regular
1106,Rohan Sharma,105,2023-10-14,15:44,22:52,Evening,0,0,1.0,0.0,7.13,Regular
1122,Pooja Rao,102,2023-12-29,07:25,12:20,Morning,0,0,0.97,1.0,4.92,Regular
1113,Sneha Patel,103,2023-08-15,15:53,23:04,Evening,0,0,0.96,0.0,7.18,Regular
1148,Sneha Joshi,103,2023-12-04,15:08,23:01,Evening,0,0,0.95,0.0,7.88,Regular
1017,Deepak Singh,101,2023-04-14,07:49,12:43,Morning,0,0,0.96,0.0,4.9,Regular
1098,Priya Joshi,104,2023-02-13,05:09,17:54,Full,0,0,0.95,0.0,12.75,Regular
1080,Vikram Joshi,103,2023-05-29,,,,0,0,0.89,0.0,0.0,Irregular
1025,Arjun Reddy,102,2023-05-23,06:46,13:09,Morning,0,0,1.0,0.0,6.38,Regular
1026,Rajesh Singh,105,2023-09-27,07:47,18:49,Full,0,0,0.99,0.0,11.03,Regular
1116,Rajesh Joshi,103,2023-04-13,14:43,23:44,Evening,0,0,0.98,0.0,9.02,Regular
1108,Vikram Singh,101,2023-07-29,15:01,22:34,Evening,0,0,0.95,1.0,7.55,Regular
1013,Deepak Patel,105,2023-04-06,05:48,17:52,Full,0,0,0.98,0.0,12.07,Regular
1121,Deepak Nair,102,2023-12-25,05:02,17:13,Full,0,0,0.99,0.0,12.18,Regular
1146,Sneha Sharma,105,2023-07-12,07:48,12:23,Morning,0,0,1.0,0.0,4.58,Regular
1037,Arjun Sharma,105,2023-07-17,,,,0,0,0.99,0.0,0.0,Regular
1088,Neha Reddy,103,2023-08-14,07:07,18:28,Full,0,4,0.57,0.0,11.35,High_Risk
1110,Deepak Singh,102,2023-11-09,07:55,13:04,Morning,0,0,1.0,0.0,5.15,Regular
1009,Sneha Nair,103,2023-08-29,15:17,23:16,Evening,0,0,0.99,0.0,7.98,Regular
1013,Priya Kumar,105,2023-11-25,07:40,18:02,Full,0,0,0.97,0.0,10.37,Regular
1076,Rohan Kumar,102,2023-02-09,,,,0,2,0.77,0.0,0.0,Irregular
1124,Priya Patel,103,2023-03-31,05:27,17:12,Full,0,0,0.85,1.0,11.75,Irregular
1093,Amit Joshi,103,2023-02-25,,,,0,2,0.92,0.0,0.0,Irregular
1033,Sneha Reddy,103,2023-04-03,,,,0,8,0.47,0.0,0.0,High_Risk
1045,Deepak Joshi,101,2023-12-22,,,,0,5,0.44,0.0,0.0,High_Risk
1133,Rajesh Sharma,103,2023-09-06,06:31,17:52,Full,0,1,0.56,0.5,11.35,High_Risk
1077,Arjun Kumar,105,2023-08-12,14:16,23:30,Evening,0,0,0.95,0.0,9.23,Regular
1109,Arjun Gupta,103,2023-03-15,07:29,17:28,Full,0,0,0.96,0.5,9.98,Regular
1068,Sneha Gupta,103,2023-01-12,14:21,23:55,Evening,0,0,0.99,0.0,9.57,Regular
1029,Arjun Nair,104,2023-08-15,14:10,22:05,Evening,0,2,0.8,0.0,7.92,Irregular
1026,Sneha Sharma,102,2023-10-12,05:38,12:54,Morning,0,0,0.96,1.0,7.27,Regular
1032,Deepak Gupta,102,2023-03-25,,,,0,2,0.92,0.0,0.0,Irregular
1126,Deepak Kumar,104,2023-01-21,06:18,17:04,Full,0,0,0.97,2.0,10.77,Regular
1124,Pooja Nair,102,2023-11-16,06:14,18:15,Full,0,0,0.96,0.0,12.02,Regular
1145,Rajesh Verma,105,2023-03-20,14:02,22:43,Evening,0,1,0.87,0.0,8.68,Irregular
1046,Rajesh Kumar,101,2023-09-30,05:37,13:56,Morning,0,0,0.98,0.0,8.32,Regular
1117,Pooja Reddy,102,2023-03-06,06:29,13:17,Morning,0,2,0.89,0.0,6.8,Irregular
1011,Rohan Nair,105,2023-04-12,,,,0,2,0.85,0.0,0.0,Irregular
1088,Amit Kumar,101,2023-02-15,15:27,23:32,Evening,0,0,0.95,0.0,8.08,Regular
1097,Rohan Singh,102,2023-08-21,06:21,12:01,Morning,0,0,0.96,2.0,5.67,Regular
1122,Amit Singh,102,2023-04-17,07:02,12:05,Morning,0,0,0.76,0.0,5.05,Irregular
1041,Pooja Singh,102,2023-11-24,,,,0,3,0.47,0.0,0.0,High_Risk
1127,Deepak Joshi,103,2023-11-10,,,,0,2,0.41,0.0,0.0,High_Risk
1106,Priya Rao,103,2023-01-12,05:50,13:18,Morning,0,0,0.79,2.0,7.47,Irregular
1119,Deepak Rao,105,2023-11-03,07:21,12:31,Morning,0,2,0.88,0.0,5.17,Irregular
1035,Pooja Kumar,105,2023-07-26,15:20,22:57,Evening,0,0,0.97,0.5,7.62,Regular
1004,Pooja Singh,104,2023-01-20,14:31,22:35,Evening,0,0,0.97,0.0,8.07,Regular
1066,Arjun Rao,102,2023-10-23,15:11,22:44,Evening,0,0,0.9,0.0,7.55,Irregular
1099,Pooja Nair,102,2023-08-28,,,,0,1,0.8,0.0,0.0,Irregular
1078,Vikram Gupta,102,2023-11-21,15:59,22:46,Evening,0,0,0.98,0.0,6.78,Regular
1084,Deepak Verma,102,2023-05-25,06:34,17:04,Full,0,0,0.99,0.0,10.5,Regular
1045,Deepak Gupta,103,2023-04-28,15:11,23:40,Evening,0,3,0.52,0.0,8.48,High_Risk
1001,Arjun Sharma,101,2023-10-11,05:11,17:48,Full,0,0,0.99,1.0,12.62,Regular
1111,Neha Reddy,104,2023-11-30,15:25,22:00,Evening,0,0,0.97,0.0,6.58,Regular
1059,Vikram Singh,105,2023-06-28,05:49,13:58,Morning,0,0,1.0,0.0,8.15,Regular
1050,Rajesh Reddy,105,2023-08-11,14:43,23:19,Evening,0,3,0.54,0.0,8.6,High_Risk
1124,Pooja Rao,102,2023-09-21,07:21,12:33,Morning,0,0,1.0,0.0,5.2,Regular
1114,Priya Singh,102,2023-05-16,,,,0,0,0.76,0.0,0.0,Irregular
1072,Rohan Patel,101,2023-10-16,,,,0,2,0.88,0.0,0.0,Irregular
1053,Rohan Gupta,105,2023-08-08,07:08,17:40,Full,0,0,0.99,2.0,10.53,Regular
1077,Amit Verma,101,2023-04-08,15:18,23:33,Evening,0,0,0.99,0.5,8.25,Regular
1083,Priya Patel,105,2023-12-11,05:14,17:11,Full,0,2,0.89,0.0,11.95,Irregular
1060,Vikram Gupta,105,2023-11-01,15:25,22:34,Evening,0,0,0.98,0.0,7.15,Regular
1009,Amit Reddy,103,2023-11-24,14:28,23:24,Evening,0,0,0.97,0.0,8.93,Regular
1037,Rohan Gupta,104,2023-02-13,06:43,17:42,Full,0,0,0.96,0.0,10.98,Regular
1080,Pooja Nair,105,2023-10-09,,,,0,2,0.41,0.0,0.0,High_Risk
1021,Rajesh Nair,105,2023-10-17,05:51,18:26,Full,0,0,0.98,1.5,12.58,Regular
1136,Neha Singh,102,2023-05-26,06:24,18:10,Full,0,1,0.91,0.0,11.77,Irregular
1071,Amit Gupta,101,2023-10-25,15:06,23:00,Evening,0,0,0.98,0.0,7.9,Regular
1047,Priya Singh,103,2023-04-28,15:08,22:09,Evening,0,0,0.97,0.0,7.02,Regular
1072,Rohan Sharma,101,2023-10-20,07:09,17:17,Full,0,0,0.96,0.5,10.13,Regular
1069,Neha Gupta,101,2023-08-14,15:47,22:14,Evening,0,2,0.86,0.0,6.45,Irregular
1138,Pooja Patel,101,2023-09-11,07:20,13:02,Morning,0,0,0.97,0.0,5.7,Regular
1024,Vikram Patel,104,2023-03-09,,,,0,1,0.93,0.0,0.0,Irregular
1109,Neha Nair,104,2023-12-19,14:58,23:40,Evening,0,0,0.97,0.0,8.7,Regular
1060,Sneha Gupta,102,2023-01-27,,,,0,1,0.87,0.0,0.0,Irregular
1067,Rajesh Singh,104,2023-09-16,06:37,12:34,Morning,0,0,0.97,0.5,5.95,Regular
1008,Arjun Gupta,104,2023-11-29,07:15,18:29,Full,0,0,0.99,0.0,11.23,Regular
1145,Rajesh Kumar,104,2023-01-03,,,,0,6,0.48,0.0,0.0,High_Risk
1104,Vikram Sharma,105,2023-09-05,05:19,18:21,Full,0,2,0.92,0.0,13.03,Irregular
1016,Neha Sharma,104,2023-08-14,07:49,12:01,Morning,0,1,0.94,0.0,4.2,Irregular
1075,Sneha Nair,103,2023-06-03,14:21,22:14,Evening,0,0,0.99,2.0,7.88,Regular
1012,Arjun Nair,101,2023-03-23,06:29,18:05,Full,0,0,0.96,0.0,11.6,Regular
1014,Rajesh Singh,101,2023-06-12,06:13,18:17,Full,0,0,0.99,0.0,12.07,Regular
1025,Priya Sharma,105,2023-06-13,,,,0,0,0.52,0.0,0.0,High_Risk
1054,Rohan Kumar,105,2023-01-25,05:33,13:24,Morning,0,0,0.95,0.0,7.85,Regular
1012,Vikram Rao,104,2023-11-30,07:05,13:28,Morning,0,0,0.98,0.0,6.38,Regular
1031,Rohan Sharma,103,2023-09-23,15:30,23:14,Evening,0,0,0.96,2.0,7.73,Regular
1099,Arjun Sharma,105,2023-07-10,05:03,13:38,Morning,0,0,0.96,0.0,8.58,Regular
1124,Rajesh Gupta,104,2023-05-04,05:51,17:34,Full,0,0,0.97,0.0,11.72,Regular
1014,Vikram Kumar,105,2023-05-13,14:20,23:37,Evening,0,0,0.99,0.0,9.28,Regular
1058,Vikram Patel,105,2023-08-01,05:17,17:44,Full,0,0,0.97,0.0,12.45,Regular
1139,Deepak Singh,105,2023-07-03,06:51,13:59,Morning,0,2,0.83,0.0,7.13,Irregular
1042,Vikram Nair,105,2023-04-24,,,,0,0,0.53,0.0,0.0,High_Risk
1129,Arjun Rao,102,2023-01-30,05:27,17:54,Full,0,0,0.99,0.0,12.45,Regular
1079,Amit Patel,101,2023-12-11,05:22,12:07,Morning,0,0,0.95,0.0,6.75,Regular
1043,Amit Sharma,101,2023-06-01,15:57,22:45,Evening,0,0,1.0,2.0,6.8,Regular
1135,Arjun Kumar,103,2023-09-18,06:37,17:31,Full,0,0,0.99,0.0,10.9,Regular
1136,Amit Verma,101,2023-02-18,05:40,12:57,Morning,0,1,0.46,0.0,7.28,High_Risk
1140,Arjun Patel,103,2023-09-26,,,,0,1,0.43,0.0,0.0,High_Risk
1015,Neha Sharma,101,2023-07-03,15:59,23:24,Evening,0,3,0.45,0.0,7.42,High_Risk
1032,Priya Joshi,103,2023-05-02,,,,0,6,0.58,0.0,0.0,High_Risk
1012,Rajesh Reddy,101,2023-05-29,15:45,23:45,Evening,0,0,0.98,0.5,8.0,Regular
1086,Deepak Patel,103,2023-12-14,05:20,12:51,Morning,0,0,0.96,1.0,7.52,Regular
1088,Sneha Verma,104,2023-06-20,,,,0,0,0.85,0.0,0.0,Irregular
1118,Neha Patel,103,2023-01-30,05:46,18:41,Full,0,0,0.99,0.0,12.92,Regular
1108,Deepak Kumar,105,2023-04-14,06:42,17:09,Full,0,6,0.52,0.5,10.45,High_Risk
1066,Deepak Joshi,101,2023-03-27,05:13,18:56,Full,0,0,0.97,2.0,13.72,Regular
1075,Vikram Gupta,103,2023-03-11,,,,0,0,0.77,0.0,0.0,Irregular
1111,Priya Gupta,105,2023-01-24,06:20,13:39,Morning,0,1,0.87,0.0,7.32,Irregular
1004,Vikram Nair,104,2023-01-20,05:13,17:23,Full,0,1,0.86,0.0,12.17,Irregular
1132,Arjun Nair,102,2023-06-08,14:45,22:21,Evening,0,0,0.99,0.0,7.6,Regular
1058,Vikram Kumar,105,2023-07-11,15:54,22:54,Evening,0,2,0.79,0.0,7.0,Irregular
1047,Priya Gupta,103,2023-04-28,,,,0,0,0.88,0.0,0.0,Irregular
1148,Amit Rao,103,2023-02-16,,,,0,2,0.9,0.0,0.0,Irregular
1090,Neha Kumar,105,2023-03-02,,,,0,0,0.96,0.0,0.0,Regular
1107,Priya Rao,101,2023-04-28,14:50,22:18,Evening,0,0,0.97,0.0,7.47,Regular
1069,Arjun Verma,105,2023-02-18,06:25,18:38,Full,0,0,1.0,1.5,12.22,Regular
1024,Vikram Joshi,101,2023-10-24,05:30,18:23,Full,0,0,0.95,0.0,12.88,Regular
1108,Pooja Nair,102,2023-08-08,06:55,13:15,Morning,0,0,0.97,0.0,6.33,Regular
1070,Priya Joshi,104,2023-08-16,06:42,12:20,Morning,0,0,0.97,0.0,5.63,Regular
1007,Pooja Patel,102,2023-07-22,,,,0,2,0.93,0.0,0.0,Irregular
1149,Neha Kumar,102,2023-05-22,,,,0,1,0.95,0.0,0.0,Irregular
1069,Arjun Kumar,103,2023-11-01,05:40,17:49,Full,0,2,0.8,0.5,12.15,Irregular
1071,Rohan Nair,101,2023-03-02,14:40,22:21,Evening,0,0,0.98,0.0,7.68,Regular
1098,Deepak Verma,101,2023-01-05,06:09,18:15,Full,0,0,0.98,0.0,12.1,Regular
1086,Arjun Singh,104,2023-10-21,15:50,22:48,Evening,0,0,0.96,0.0,6.97,Regular
1020,Vikram Rao,102,2023-08-02,07:21,13:27,Morning,0,0,1.0,0.0,6.1,Regular
1058,Vikram Singh,104,2023-03-07,15:43,22:41,Evening,0,1,0.82,0.0,6.97,Irregular
1023,Neha Nair,101,2023-07-17,,,,0,0,0.96,0.0,0.0,Regular
1074,Neha Joshi,104,2023-06-13,14:46,22:47,Evening,0,1,0.78,1.0,8.02,Irregular
1012,Vikram Joshi,102,2024-01-01,06:32,13:00,Morning,0,0,0.97,0.0,6.47,Regular
1124,Neha Nair,103,2023-09-04,07:45,12:15,Morning,0,0,0.97,2.0,4.5,Regular
1021,Amit Patel,105,2023-04-12,,,,0,0,0.98,0.0,0.0,Regular
1128,Arjun Joshi,103,2023-05-11,06:25,18:04,Full,0,0,0.81,2.0,11.65,Irregular
1134,Amit Rao,103,2023-12-30,15:21,22:11,Evening,0,1,0.8,0.0,6.83,Irregular
1034,Pooja Gupta,101,2023-12-04,,,,0,0,0.84,0.0,0.0,Irregular
1128,Arjun Nair,101,2023-05-19,,,,0,2,0.88,0.0,0.0,Irregular
1125,Rajesh Gupta,102,2023-09-05,05:19,13:00,Morning,0,0,0.96,1.0,7.68,Regular
1067,Neha Patel,104,2023-10-30,07:56,12:52,Morning,0,3,0.57,0.0,4.93,High_Risk
1039,Arjun Rao,101,2023-11-29,,,,0,2,0.93,0.0,0.0,Irregular
1091,Pooja Verma,102,2023-02-07,15:34,22:29,Evening,0,0,0.97,1.0,6.92,Regular
1113,Sneha Reddy,101,2023-09-27,05:18,13:50,Morning,0,0,0.98,1.0,8.53,Regular
1028,Sneha Patel,104,2023-07-25,,,,0,6,0.51,0.0,0.0,High_Risk
1019,Rohan Reddy,104,2023-11-13,05:32,13:51,Morning,0,0,0.98,0.0,8.32,Regular
1078,Amit Singh,101,2023-03-09,05:45,18:40,Full,0,0,0.98,2.0,12.92,Regular
1016,Neha Nair,105,2023-06-07,06:49,12:20,Morning,0,0,0.87,0.0,5.52,Irregular
1137,Pooja Verma,104,2023-08-04,,,,0,7,0.5,0.0,0.0,High_Risk
1076,Priya Patel,104,2023-01-16,05:21,18:20,Full,0,0,0.98,0.0,12.98,Regular
1132,Neha Patel,104,2023-03-17,06:23,18:26,Full,0,0,0.98,0.5,12.05,Regular
1087,Deepak Sharma,101,2023-03-02,07:59,13:00,Morning,0,0,0.97,0.0,5.02,Regular
1099,Rajesh Kumar,103,2023-12-06,15:48,23:48,Evening,0,0,0.95,0.0,8.0,Regular
1124,Deepak Reddy,101,2023-12-07,06:42,13:40,Morning,0,0,0.95,0.0,6.97,Regular
1041,Pooja Singh,101,2023-11-03,14:12,23:10,Evening,0,0,0.97,0.0,8.97,Regular
1127,Sneha Joshi,105,2023-04-18,05:52,17:11,Full,0,0,0.96,0.0,11.32,Regular
1090,Pooja Patel,104,2023-01-09,,,,0,1,0.76,0.0,0.0,Irregular
1084,Arjun Reddy,102,2023-11-20,15:36,22:46,Evening,0,0,0.99,0.0,7.17,Regular
1076,Arjun Patel,102,2023-02-10,05:09,18:50,Full,0,0,0.95,0.0,13.68,Regular
1051,Amit Kumar,101,2023-01-28,05:01,17:37,Full,0,1,0.78,1.0,12.6,Irregular
1081,Priya Joshi,101,2023-08-23,15:36,22:48,Evening,0,0,0.97,0.0,7.2,Regular
1038,Deepak Sharma,104,2023-04-17,07:08,17:37,Full,0,0,0.97,0.5,10.48,Regular
1098,Rohan Reddy,103,2023-06-21,15:10,23:31,Evening,0,0,0.98,0.0,8.35,Regular
1100,Rajesh Nair,104,2023-06-16,07:03,12:55,Morning,0,2,0.78,0.5,5.87,Irregular
1146,Deepak Singh,104,2023-05-06,05:07,13:47,Morning,0,0,1.0,0.0,8.67,Regular
1065,Sneha Sharma,104,2023-11-21,07:10,17:03,Full,0,0,0.96,0.0,9.88,Regular
1107,Sneha Nair,103,2023-11-02,05:29,13:36,Morning,0,0,0.97,1.0,8.12,Regular
1124,Rohan Rao,105,2023-05-15,05:28,17:58,Full,0,0,0.97,2.0,12.5,Regular
1109,Vikram Reddy,104,2023-11-01,,,,0,5,0.45,0.0,0.0,High_Risk
1087,Pooja Nair,103,2023-12-20,05:20,13:43,Morning,0,0,0.99,0.0,8.38,Regular
